subjects	Activity	variable	Description
10	SITTING	fBodyGyro-std()-Y	"Subject # 10 while SITTING,Mean of body angular velocity for x- axis in (frequency domain)"
10	SITTING	fBodyGyro-std()-Z	"Subject # 10 while SITTING,Mean of body angular velocity for y- axis in (frequency domain)"
10	SITTING	fBodyAccMag-mean()	"Subject # 10 while SITTING,Mean of body angular velocity for z- axis in (frequency domain)"
10	SITTING	fBodyAccMag-std()	"Subject # 10 while SITTING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
10	SITTING	fBodyBodyAccJerkMag-mean()	"Subject # 10 while SITTING,Standard deviation of body angular velocity for y- axis in (frequency domain)"
10	SITTING	fBodyBodyAccJerkMag-std()	"Subject # 10 while SITTING,Standard deviation of body angular velocity for z- axis in (frequency domain)"
10	SITTING	fBodyBodyGyroMag-mean()	"Subject # 10 while SITTING,Mean of the  body angular velocity Jerk for X- axis in (frequency domain)"
10	SITTING	fBodyBodyGyroMag-std()	"Subject # 10 while SITTING,Mean of the  body angular velocity Jerk for Y- axis in (frequency domain)"
10	SITTING	fBodyBodyGyroJerkMag-mean()	"Subject # 10 while SITTING,Mean of the  body angular velocity Jerk for Z- axis in (frequency domain)"
10	SITTING	fBodyBodyGyroJerkMag-std()	"Subject # 10 while SITTING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (frequency domain)"
10	STANDING	tBodyAcc-mean()-X	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
10	STANDING	tBodyAcc-mean()-Y	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
10	STANDING	tBodyAcc-mean()-Z	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
10	STANDING	tBodyAcc-std()-X	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
10	STANDING	tBodyAcc-std()-Y	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
10	STANDING	tBodyAcc-std()-Z	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
10	STANDING	tGravityAcc-mean()-X	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
10	STANDING	tGravityAcc-mean()-Y	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
10	STANDING	tGravityAcc-mean()-Z	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
10	STANDING	tGravityAcc-std()-X	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
10	STANDING	tGravityAcc-std()-Y	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
10	STANDING	tGravityAcc-std()-Z	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
10	STANDING	tBodyAccJerk-mean()-X	"Subject # 10 while STANDING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
10	STANDING	tBodyAccJerk-mean()-Y	"Subject # 10 while STANDING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
10	STANDING	tBodyAccJerk-mean()-Z	"Subject # 10 while STANDING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
10	STANDING	tBodyAccJerk-std()-X	"Subject # 10 while STANDING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
10	STANDING	tBodyAccJerk-std()-Y	"Subject # 10 while STANDING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
10	STANDING	tBodyAccJerk-std()-Z	"Subject # 10 while STANDING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
10	STANDING	tBodyGyro-mean()-X	"Subject # 10 while STANDING,Mean of body angular velocity for x- axis in (time domain)"
10	STANDING	tBodyGyro-mean()-Y	"Subject # 10 while STANDING,Mean of body angular velocity for y- axis in (time domain)"
10	STANDING	tBodyGyro-mean()-Z	"Subject # 10 while STANDING,Mean of body angular velocity for z- axis in (time domain)"
10	STANDING	tBodyGyro-std()-X	"Subject # 10 while STANDING,Standard deviation of body angular velocity for x- axis in (time domain)"
10	STANDING	tBodyGyro-std()-Y	"Subject # 10 while STANDING,Standard deviation of body angular velocity for y- axis in (time domain)"
10	STANDING	tBodyGyro-std()-Z	"Subject # 10 while STANDING,Standard deviation of body angular velocity for z- axis in (time domain)"
10	STANDING	tBodyGyroJerk-mean()-X	"Subject # 10 while STANDING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
10	STANDING	tBodyGyroJerk-mean()-Y	"Subject # 10 while STANDING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
10	STANDING	tBodyGyroJerk-mean()-Z	"Subject # 10 while STANDING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
10	STANDING	tBodyGyroJerk-std()-X	"Subject # 10 while STANDING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
10	STANDING	tBodyGyroJerk-std()-Y	"Subject # 10 while STANDING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
10	STANDING	tBodyGyroJerk-std()-Z	"Subject # 10 while STANDING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
10	STANDING	tBodyAccMag-mean()	"Subject # 10 while STANDING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
10	STANDING	tBodyAccMag-std()	"Subject # 10 while STANDING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
10	STANDING	tGravityAccMag-mean()	"Subject # 10 while STANDING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
10	STANDING	tGravityAccMag-std()	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
10	STANDING	tBodyAccJerkMag-mean()	"Subject # 10 while STANDING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
10	STANDING	tBodyAccJerkMag-std()	"Subject # 10 while STANDING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
10	STANDING	tBodyGyroMag-mean()	"Subject # 10 while STANDING,Mean of magnitute of measurements of body angular velocity in (time domain)"
10	STANDING	tBodyGyroMag-std()	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
10	STANDING	tBodyGyroJerkMag-mean()	"Subject # 10 while STANDING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
10	STANDING	tBodyGyroJerkMag-std()	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
10	STANDING	fBodyAcc-mean()-X	"Subject # 10 while STANDING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (frequency domain)"
10	STANDING	fBodyAcc-mean()-Y	"Subject # 10 while STANDING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (frequency domain)"
10	STANDING	fBodyAcc-mean()-Z	"Subject # 10 while STANDING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
10	STANDING	fBodyAcc-std()-X	"Subject # 10 while STANDING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
10	STANDING	fBodyAcc-std()-Y	"Subject # 10 while STANDING,Mean of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
10	STANDING	fBodyAcc-std()-Z	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
10	STANDING	fBodyAccJerk-mean()-X	"Subject # 10 while STANDING,Mean of magnitute of measurements of Body kerk acceleration in (frequency domain)"
10	STANDING	fBodyAccJerk-mean()-Y	"Subject # 10 while STANDING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (frequency domain)"
10	STANDING	fBodyAccJerk-mean()-Z	"Subject # 10 while STANDING,Mean of magnitute of measurements of body angular velocity in (frequency domain)"
10	STANDING	fBodyAccJerk-std()-X	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of body angular velocity in (frequency domain)"
10	STANDING	fBodyAccJerk-std()-Y	"Subject # 10 while STANDING,Mean of magnitute of measurements of Jerk  angular velocity in (frequency domain)"
10	STANDING	fBodyAccJerk-std()-Z	"Subject # 10 while STANDING,Standard deviation of magnitute of measurements of Jerk angular velocity in (frequency domain)"
10	STANDING	fBodyGyro-mean()-X	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  X axis  in (frequency domain)"
10	STANDING	fBodyGyro-mean()-Y	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  Y axis  in (frequency domain)"
10	STANDING	fBodyGyro-mean()-Z	"Subject # 10 while STANDING,Mean of measurements of Body acceleration for  Z axis  in (frequency domain)"
10	STANDING	fBodyGyro-std()-X	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  X axis  in (frequency domain)"
10	STANDING	fBodyGyro-std()-Y	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  Y axis  in (frequency domain)"
10	STANDING	fBodyGyro-std()-Z	"Subject # 10 while STANDING,Standard deviation  of measurements of Body acceleration for  Z axis  in (frequency domain)"
10	STANDING	fBodyAccMag-mean()	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  X axis  in (frequency domain)"
10	STANDING	fBodyAccMag-std()	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (frequency domain)"
10	STANDING	fBodyBodyAccJerkMag-mean()	"Subject # 10 while STANDING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (frequency domain)"
10	STANDING	fBodyBodyAccJerkMag-std()	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (frequency domain)"
10	STANDING	fBodyBodyGyroMag-mean()	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (frequency domain)"
10	STANDING	fBodyBodyGyroMag-std()	"Subject # 10 while STANDING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (frequency domain)"
10	STANDING	fBodyBodyGyroJerkMag-mean()	"Subject # 10 while STANDING,Mean of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
10	STANDING	fBodyBodyGyroJerkMag-std()	"Subject # 10 while STANDING,Mean of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
10	LAYING	tBodyAcc-mean()-X	"Subject # 10 while LAYING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
10	LAYING	tBodyAcc-mean()-Y	"Subject # 10 while LAYING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
10	LAYING	tBodyAcc-mean()-Z	"Subject # 10 while LAYING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
10	LAYING	tBodyAcc-std()-X	"Subject # 10 while LAYING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
10	LAYING	tBodyAcc-std()-Y	"Subject # 10 while LAYING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
10	LAYING	tBodyAcc-std()-Z	"Subject # 10 while LAYING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
10	LAYING	tGravityAcc-mean()-X	"Subject # 10 while LAYING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
10	LAYING	tGravityAcc-mean()-Y	"Subject # 10 while LAYING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
10	LAYING	tGravityAcc-mean()-Z	"Subject # 10 while LAYING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
10	LAYING	tGravityAcc-std()-X	"Subject # 10 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
10	LAYING	tGravityAcc-std()-Y	"Subject # 10 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
10	LAYING	tGravityAcc-std()-Z	"Subject # 10 while LAYING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
10	LAYING	tBodyAccJerk-mean()-X	"Subject # 10 while LAYING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
10	LAYING	tBodyAccJerk-mean()-Y	"Subject # 10 while LAYING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
10	LAYING	tBodyAccJerk-mean()-Z	"Subject # 10 while LAYING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
10	LAYING	tBodyAccJerk-std()-X	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
10	LAYING	tBodyAccJerk-std()-Y	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
10	LAYING	tBodyAccJerk-std()-Z	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
10	LAYING	tBodyGyro-mean()-X	"Subject # 10 while LAYING,Mean of body angular velocity for x- axis in (time domain)"
10	LAYING	tBodyGyro-mean()-Y	"Subject # 10 while LAYING,Mean of body angular velocity for y- axis in (time domain)"
10	LAYING	tBodyGyro-mean()-Z	"Subject # 10 while LAYING,Mean of body angular velocity for z- axis in (time domain)"
10	LAYING	tBodyGyro-std()-X	"Subject # 10 while LAYING,Standard deviation of body angular velocity for x- axis in (time domain)"
10	LAYING	tBodyGyro-std()-Y	"Subject # 10 while LAYING,Standard deviation of body angular velocity for y- axis in (time domain)"
10	LAYING	tBodyGyro-std()-Z	"Subject # 10 while LAYING,Standard deviation of body angular velocity for z- axis in (time domain)"
10	LAYING	tBodyGyroJerk-mean()-X	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
10	LAYING	tBodyGyroJerk-mean()-Y	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
10	LAYING	tBodyGyroJerk-mean()-Z	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
10	LAYING	tBodyGyroJerk-std()-X	"Subject # 10 while LAYING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
10	LAYING	tBodyGyroJerk-std()-Y	"Subject # 10 while LAYING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
10	LAYING	tBodyGyroJerk-std()-Z	"Subject # 10 while LAYING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
10	LAYING	tBodyAccMag-mean()	"Subject # 10 while LAYING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
10	LAYING	tBodyAccMag-std()	"Subject # 10 while LAYING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
10	LAYING	tGravityAccMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
10	LAYING	tGravityAccMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
10	LAYING	tBodyAccJerkMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
10	LAYING	tBodyAccJerkMag-std()	"Subject # 10 while LAYING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
10	LAYING	tBodyGyroMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of body angular velocity in (time domain)"
10	LAYING	tBodyGyroMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
10	LAYING	tBodyGyroJerkMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
10	LAYING	tBodyGyroJerkMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
10	LAYING	fBodyAcc-mean()-X	"Subject # 10 while LAYING,Mean of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
10	LAYING	fBodyAcc-mean()-Y	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
10	LAYING	fBodyAcc-mean()-Z	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
10	LAYING	fBodyAcc-std()-X	"Subject # 10 while LAYING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
10	LAYING	fBodyAcc-std()-Y	"Subject # 10 while LAYING,Mean of body angular velocity for x- axis in (frequency domain)"
10	LAYING	fBodyAcc-std()-Z	"Subject # 10 while LAYING,Mean of body angular velocity for y- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-mean()-X	"Subject # 10 while LAYING,Mean of body angular velocity for z- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-mean()-Y	"Subject # 10 while LAYING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-mean()-Z	"Subject # 10 while LAYING,Standard deviation of body angular velocity for y- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-std()-X	"Subject # 10 while LAYING,Standard deviation of body angular velocity for z- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-std()-Y	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for X- axis in (frequency domain)"
10	LAYING	fBodyAccJerk-std()-Z	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for Y- axis in (frequency domain)"
10	LAYING	fBodyGyro-mean()-X	"Subject # 10 while LAYING,Mean of the  body angular velocity Jerk for Z- axis in (frequency domain)"
10	LAYING	fBodyGyro-mean()-Y	"Subject # 10 while LAYING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (frequency domain)"
10	LAYING	fBodyGyro-mean()-Z	"Subject # 10 while LAYING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (frequency domain)"
10	LAYING	fBodyGyro-std()-X	"Subject # 10 while LAYING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (frequency domain)"
10	LAYING	fBodyGyro-std()-Y	"Subject # 10 while LAYING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
10	LAYING	fBodyGyro-std()-Z	"Subject # 10 while LAYING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (frequency domain)"
10	LAYING	fBodyAccMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
10	LAYING	fBodyAccMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (frequency domain)"
10	LAYING	fBodyBodyAccJerkMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of Body kerk acceleration in (frequency domain)"
10	LAYING	fBodyBodyAccJerkMag-std()	"Subject # 10 while LAYING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (frequency domain)"
10	LAYING	fBodyBodyGyroMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of body angular velocity in (frequency domain)"
10	LAYING	fBodyBodyGyroMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of body angular velocity in (frequency domain)"
10	LAYING	fBodyBodyGyroJerkMag-mean()	"Subject # 10 while LAYING,Mean of magnitute of measurements of Jerk  angular velocity in (frequency domain)"
10	LAYING	fBodyBodyGyroJerkMag-std()	"Subject # 10 while LAYING,Standard deviation of magnitute of measurements of Jerk angular velocity in (frequency domain)"
11	WALKING	tBodyAcc-mean()-X	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  X axis  in (time domain)"
11	WALKING	tBodyAcc-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (time domain)"
11	WALKING	tBodyAcc-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (time domain)"
11	WALKING	tBodyAcc-std()-X	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (time domain)"
11	WALKING	tBodyAcc-std()-Y	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (time domain)"
11	WALKING	tBodyAcc-std()-Z	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (time domain)"
11	WALKING	tGravityAcc-mean()-X	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (time domain)"
11	WALKING	tGravityAcc-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (time domain)"
11	WALKING	tGravityAcc-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (time domain)"
11	WALKING	tGravityAcc-std()-X	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (time domain)"
11	WALKING	tGravityAcc-std()-Y	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (time domain)"
11	WALKING	tGravityAcc-std()-Z	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (time domain)"
11	WALKING	tBodyAccJerk-mean()-X	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
11	WALKING	tBodyAccJerk-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
11	WALKING	tBodyAccJerk-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
11	WALKING	tBodyAccJerk-std()-X	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (time domain)"
11	WALKING	tBodyAccJerk-std()-Y	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (time domain)"
11	WALKING	tBodyAccJerk-std()-Z	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (time domain)"
11	WALKING	tBodyGyro-mean()-X	"Subject # 11 while WALKING,Mean of body angular velocity for x- axis in (time domain)"
11	WALKING	tBodyGyro-mean()-Y	"Subject # 11 while WALKING,Mean of body angular velocity for y- axis in (time domain)"
11	WALKING	tBodyGyro-mean()-Z	"Subject # 11 while WALKING,Mean of body angular velocity for z- axis in (time domain)"
11	WALKING	tBodyGyro-std()-X	"Subject # 11 while WALKING,Standard deviation of body angular velocity for x- axis in (time domain)"
11	WALKING	tBodyGyro-std()-Y	"Subject # 11 while WALKING,Standard deviation of body angular velocity for y- axis in (time domain)"
11	WALKING	tBodyGyro-std()-Z	"Subject # 11 while WALKING,Standard deviation of body angular velocity for z- axis in (time domain)"
11	WALKING	tBodyGyroJerk-mean()-X	"Subject # 11 while WALKING,Mean of the  body angular velocity Jerk for X- axis in (time domain)"
11	WALKING	tBodyGyroJerk-mean()-Y	"Subject # 11 while WALKING,Mean of the  body angular velocity Jerk for Y- axis in (time domain)"
11	WALKING	tBodyGyroJerk-mean()-Z	"Subject # 11 while WALKING,Mean of the  body angular velocity Jerk for Z- axis in (time domain)"
11	WALKING	tBodyGyroJerk-std()-X	"Subject # 11 while WALKING,Standard Deviation ofof the  body angular velocity Jerk for X- axis in (time domain)"
11	WALKING	tBodyGyroJerk-std()-Y	"Subject # 11 while WALKING,Standard Deviation  of the  body angular velocity Jerk for Y- axis in (time domain)"
11	WALKING	tBodyGyroJerk-std()-Z	"Subject # 11 while WALKING,Standard Deviation of the  body angular velocity Jerk for Z- axis in (time domain)"
11	WALKING	tBodyAccMag-mean()	"Subject # 11 while WALKING,Mean of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
11	WALKING	tBodyAccMag-std()	"Subject # 11 while WALKING,Standard deviation of measurements of Magnitude (Euclidean norm) of Body acceleration  in (time domain)"
11	WALKING	tGravityAccMag-mean()	"Subject # 11 while WALKING,Mean of magnitute of measurements of acceleration due to Gravity in (time domain)"
11	WALKING	tGravityAccMag-std()	"Subject # 11 while WALKING,Standard deviation of magnitute of measurements of acceleration due to Gravity in (time domain)"
11	WALKING	tBodyAccJerkMag-mean()	"Subject # 11 while WALKING,Mean of magnitute of measurements of Body kerk acceleration in (time domain)"
11	WALKING	tBodyAccJerkMag-std()	"Subject # 11 while WALKING,Standard deviation  of magnitute of measurements of Body kerk acceleration in (time domain)"
11	WALKING	tBodyGyroMag-mean()	"Subject # 11 while WALKING,Mean of magnitute of measurements of body angular velocity in (time domain)"
11	WALKING	tBodyGyroMag-std()	"Subject # 11 while WALKING,Standard deviation of magnitute of measurements of body angular velocity in (time domain)"
11	WALKING	tBodyGyroJerkMag-mean()	"Subject # 11 while WALKING,Mean of magnitute of measurements of Jerk  angular velocity in (time domain)"
11	WALKING	tBodyGyroJerkMag-std()	"Subject # 11 while WALKING,Standard deviation of magnitute of measurements of Jerk angular velocity in (time domain)"
11	WALKING	fBodyAcc-mean()-X	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  X axis  in (frequency domain)"
11	WALKING	fBodyAcc-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  Y axis  in (frequency domain)"
11	WALKING	fBodyAcc-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of Body acceleration for  Z axis  in (frequency domain)"
11	WALKING	fBodyAcc-std()-X	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  X axis  in (frequency domain)"
11	WALKING	fBodyAcc-std()-Y	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  Y axis  in (frequency domain)"
11	WALKING	fBodyAcc-std()-Z	"Subject # 11 while WALKING,Standard deviation  of measurements of Body acceleration for  Z axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-mean()-X	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  X axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  Y axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of   acceleration due to Gravity for  Z axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-std()-X	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  X axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-std()-Y	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Y axis  in (frequency domain)"
11	WALKING	fBodyAccJerk-std()-Z	"Subject # 11 while WALKING,Standard deviation  of measurements of acceleration due to Gravity for  Z axis  in (frequency domain)"
11	WALKING	fBodyGyro-mean()-X	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
11	WALKING	fBodyGyro-mean()-Y	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
11	WALKING	fBodyGyro-mean()-Z	"Subject # 11 while WALKING,Mean of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
11	WALKING	fBodyGyro-std()-X	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk  for  X axis  in (frequency domain)"
11	WALKING	fBodyGyro-std()-Y	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Y axis  in (frequency domain)"
11	WALKING	fBodyGyro-std()-Z	"Subject # 11 while WALKING,Standard deviation of measurements of Body acceleration Jerk for  Z axis  in (frequency domain)"
11	WALKING	fBodyAccMag-mean()	"Subject # 11 while WALKING,Mean of body angular velocity for x- axis in (frequency domain)"
11	WALKING	fBodyAccMag-std()	"Subject # 11 while WALKING,Mean of body angular velocity for y- axis in (frequency domain)"
11	WALKING	fBodyBodyAccJerkMag-mean()	"Subject # 11 while WALKING,Mean of body angular velocity for z- axis in (frequency domain)"
11	WALKING	fBodyBodyAccJerkMag-std()	"Subject # 11 while WALKING,Standard deviation of body angular velocity for x- axis in (frequency domain)"
